Longitude,Latitude,Elevation,Distance (m),origin
14.385382672045038,35.860530717159435,221.95627907419995,0,Maptiler terrain provider, approximately 30m accuracy
14.385393739039161,35.860530875955874,221.9279655064517,1.0003076791763306,Maptiler terrain provider, approximately 30m accuracy
14.385404806033451,35.860531034751304,221.89965194183137,2.000615358352661,Maptiler terrain provider, approximately 30m accuracy
14.38541587302788,35.86053119354571,221.8713383804108,3.000922918319702,Maptiler terrain provider, approximately 30m accuracy
14.385426940022485,35.86053135233911,221.84302482208005,4.001230716705322,Maptiler terrain provider, approximately 30m accuracy
14.385438007017258,35.86053151113144,221.8147112670326,5.001538276672363,Maptiler terrain provider, approximately 30m accuracy
14.385449074012172,35.86053166992281,221.80198736534845,6.001845836639404,Maptiler terrain provider, approximately 30m accuracy
14.385460141007199,35.860531828713135,221.7926305043843,7.0021538734436035,Maptiler terrain provider, approximately 30m accuracy
14.385471208002457,35.860531987502426,221.7832736451104,8.002461433410645,Maptiler terrain provider, approximately 30m accuracy
14.385482274997857,35.860532146290765,221.77391678742532,9.002768516540527,Maptiler terrain provider, approximately 30m accuracy
14.385493341993367,35.86053230507805,221.76455993153832,10.003076553344727,Maptiler terrain provider, approximately 30m accuracy
14.38550440898908,35.860532463864274,221.75520307741078,11.003384590148926,Maptiler terrain provider, approximately 30m accuracy
14.385515475984931,35.860532622649544,221.74584622488612,12.003691673278809,Maptiler terrain provider, approximately 30m accuracy
14.385526542980926,35.86053278143376,221.73648937413353,13.003999710083008,Maptiler terrain provider, approximately 30m accuracy
14.385537609977092,35.86053294021697,221.72713252506074,14.004307746887207,Maptiler terrain provider, approximately 30m accuracy
14.385548676973402,35.860533098999184,221.71777567765696,15.00461483001709,Maptiler terrain provider, approximately 30m accuracy
14.38555974396988,35.86053325778033,221.7084188320273,16.00492286682129,Maptiler terrain provider, approximately 30m accuracy
14.385570810966527,35.86053341656047,221.6990619880915,17.005229949951172,Maptiler terrain provider, approximately 30m accuracy
14.38558187796332,35.86053357533963,221.68970514578774,18.005537033081055,Maptiler terrain provider, approximately 30m accuracy
14.385592944960253,35.86053373411772,221.68034830529297,19.00584602355957,Maptiler terrain provider, approximately 30m accuracy
14.385604011957355,35.86053389289485,221.67099146640052,20.006153106689453,Maptiler terrain provider, approximately 30m accuracy
14.385615078954602,35.860534051670925,221.6616346292775,21.006460189819336,Maptiler terrain provider, approximately 30m accuracy
14.38562614595199,35.86053421044599,221.65227779386043,22.00676918029785,Maptiler terrain provider, approximately 30m accuracy
14.385637212949604,35.86053436922005,221.6429209600674,23.007076263427734,Maptiler terrain provider, approximately 30m accuracy
14.385648279947302,35.86053452799308,221.6335641280476,24.007383346557617,Maptiler terrain provider, approximately 30m accuracy
14.385659346945204,35.86053468676509,221.62420729770707,25.007692337036133,Maptiler terrain provider, approximately 30m accuracy
14.385670413943245,35.860534845536094,221.61485046906986,26.007999420166016,Maptiler terrain provider, approximately 30m accuracy
14.385681480941429,35.86053500430607,221.60549364215007,27.0083065032959,Maptiler terrain provider, approximately 30m accuracy
14.385692547939783,35.86053516307501,221.59613681696737,28.008615493774414,Maptiler terrain provider, approximately 30m accuracy
14.385703614938308,35.860535321842974,221.5867799934099,29.008922576904297,Maptiler terrain provider, approximately 30m accuracy
14.385714681936948,35.86053548060988,221.5774231716453,30.00922966003418,Maptiler terrain provider, approximately 30m accuracy
14.385725748935755,35.86053563937577,221.5680663515887,31.009536743164062,Maptiler terrain provider, approximately 30m accuracy
14.385736815934736,35.860535798140674,221.55870953315207,32.00984573364258,Maptiler terrain provider, approximately 30m accuracy
14.385747882933856,35.860535956904556,221.54935271644433,33.010154724121094,Maptiler terrain provider, approximately 30m accuracy
14.385758949933122,35.8605361156674,221.53999590148567,34.010459899902344,Maptiler terrain provider, approximately 30m accuracy
14.38577001693261,35.860536274429236,221.53063908816262,35.01076889038086,Maptiler terrain provider, approximately 30m accuracy
14.385781083932216,35.86053643319006,221.52128227655487,36.01107406616211,Maptiler terrain provider, approximately 30m accuracy
14.385792150931964,35.86053659194987,221.51192546667335,37.011383056640625,Maptiler terrain provider, approximately 30m accuracy
14.385803217931851,35.86053675070865,221.5025686585207,38.01169204711914,Maptiler terrain provider, approximately 30m accuracy
14.38581428493191,35.860536909466404,221.49321185207074,39.01199722290039,Maptiler terrain provider, approximately 30m accuracy
14.385825351932143,35.86053706822315,221.48385504728927,40.012306213378906,Maptiler terrain provider, approximately 30m accuracy
14.385836418932513,35.86053722697888,221.4744982442366,41.01261520385742,Maptiler terrain provider, approximately 30m accuracy
14.385847485933056,35.86053738573358,221.4651414428867,42.01292037963867,Maptiler terrain provider, approximately 30m accuracy
14.385858552933767,35.86053754448727,221.45578464321932,43.01322937011719,Maptiler terrain provider, approximately 30m accuracy
14.385869619934626,35.86053770323994,221.4464278452755,44.0135383605957,Maptiler terrain provider, approximately 30m accuracy
14.38588068693562,35.8605378619916,221.43707104902882,45.01384353637695,Maptiler terrain provider, approximately 30m accuracy
14.385891753936761,35.860538020742254,221.42771425448282,46.01415252685547,Maptiler terrain provider, approximately 30m accuracy
14.385902820938128,35.86053817949188,221.41835746158384,47.014461517333984,Maptiler terrain provider, approximately 30m accuracy
14.385913887939552,35.860538338240474,221.40900067051587,48.014766693115234,Maptiler terrain provider, approximately 30m accuracy
14.385924954941201,35.86053849698806,221.3996438810719,49.01507568359375,Maptiler terrain provider, approximately 30m accuracy
14.385936021942998,35.86053865573463,221.3902870933287,50.015384674072266,Maptiler terrain provider, approximately 30m accuracy
14.385947088944931,35.86053881448019,221.38093030729408,51.015689849853516,Maptiler terrain provider, approximately 30m accuracy
14.385958155947009,35.86053897322469,221.37157352305172,52.01599884033203,Maptiler terrain provider, approximately 30m accuracy
14.385969222949285,35.860539131968224,221.36221674038828,53.01630783081055,Maptiler terrain provider, approximately 30m accuracy
14.385980289951677,35.86053929071072,221.3528599594974,54.0166130065918,Maptiler terrain provider, approximately 30m accuracy
14.385991356954236,35.860539449452205,221.343503180289,55.01692199707031,Maptiler terrain provider, approximately 30m accuracy
14.386002423956995,35.86053960819267,221.3341464027599,56.01723098754883,Maptiler terrain provider, approximately 30m accuracy
14.386013490959842,35.860539766932106,221.3247896269925,57.01753616333008,Maptiler terrain provider, approximately 30m accuracy
14.386024557962912,35.86053992567055,221.31543285283777,58.017845153808594,Maptiler terrain provider, approximately 30m accuracy
14.386035624966098,35.860540084407944,221.3060760804785,59.018150329589844,Maptiler terrain provider, approximately 30m accuracy
14.3860466919694,35.86054024314433,221.29671930984605,60.01845932006836,Maptiler terrain provider, approximately 30m accuracy
14.386057758972926,35.8605404018797,221.28736254083768,61.018768310546875,Maptiler terrain provider, approximately 30m accuracy
14.386068825976595,35.86054056061407,221.27800577353267,62.019073486328125,Maptiler terrain provider, approximately 30m accuracy
